Dia,Media
27/4/2018,105.84 
26/4/2018,106.33 
25/4/2018,105.67 
24/4/2018,107.00 
23/4/2018,105.00 
19/4/2018,103.33 
17/4/2018,104.50 
16/4/2018,102.30 
13/4/2018,99.75 
12/4/2018,98.53 
11/4/2018,97.97 
10/4/2018,101.41 
9/4/2018,105.53 
6/4/2018,98.97 
5/4/2018,93.91 
4/4/2018,88.29 
3/4/2018,89.39 
2/4/2018,84.40 
29/3/2018,92.46 
28/3/2018,100.76 
27/3/2018,123.82 
26/3/2018,198.55 
23/3/2018,219.11 
22/3/2018,214.23 
21/3/2018,220.44 
20/3/2018,234.44 
19/3/2018,238.21 
16/3/2018,224.89 
15/3/2018,232.36 
14/3/2018,230.78 
13/3/2018,227.97 
12/3/2018,233.92 
9/3/2018,242.81 
8/3/2018,243.31 
7/3/2018,246.10 
6/3/2018,247.20 
5/3/2018,241.45 
2/3/2018,234.65 
1/3/2018,234.78 
28/2/2018,224.21 
27/2/2018,233.61 
26/2/2018,243.67 
23/2/2018,246.10 
22/2/2018,252.20 
21/2/2018,247.56 
20/2/2018,243.80 
16/2/2018,215.00 
